object_key,course_id,course_title,type,path,name,aliases,keywords,priority,enabled,notes,source_status
course-2:a44bd6b791771c1a,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/safer-buffer,safer-buffer,,,0,TRUE,,active
course-2:7b21f2b0cf1217c3,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/send,send,,,0,TRUE,,active
course-2:00068707c95668f6,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/serve-static,serve-static,,,0,TRUE,,active
course-2:9dd883a2130d7944,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/set-function-length,set-function-length,,,0,TRUE,,active
course-2:9502d476608d76d4,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/setprototypeof,setprototypeof,,,0,TRUE,,active
course-2:39d3060ca3df848c,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/side-channel,side-channel,,,0,TRUE,,active
course-2:2dc84673aa254692,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/statuses,statuses,,,0,TRUE,,active
course-2:9640ec14648ecd04,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/toidentifier,toidentifier,,,0,TRUE,,active
course-2:2ba5322bf4936248,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/type-is,type-is,,,0,TRUE,,active
course-2:27755e78a1ed3a83,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/unpipe,unpipe,,,0,TRUE,,active
course-2:0cf2304765c1c5a5,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/utils-merge,utils-merge,,,0,TRUE,,active
course-2:38ae46e9b3cee1e0,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/vary,vary,,,0,TRUE,,active
course-2:10ad22f8a4bc3ddd,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/.package-lock.json,.package-lock.json,,,0,TRUE,,active
course-2:e810c9794250a296,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/.bin/mime,mime,,,0,TRUE,,active
course-2:622f344e75725416,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/.bin/mime.cmd,mime.cmd,,,0,TRUE,,active
course-2:23de3f7aa6d5e9a6,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/.bin/mime.ps1,mime.ps1,,,0,TRUE,,active
course-2:051e312e5f2d69dd,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/@popperjs/core,core,,,0,TRUE,,active
course-2:5585fec01f7dd8d6,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/accepts/HISTORY.md,HISTORY.md,,,0,TRUE,,active
course-2:418848be3385afe2,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/accepts/LICENSE,LICENSE,,,0,TRUE,,active
course-2:5b0678d146c57660,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/accepts/README.md,README.md,,,0,TRUE,,active
course-2:e45ba199b9bf4a7f,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/array-flatten/LICENSE,LICENSE,,,0,TRUE,,active
course-2:20bdb242ff541804,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/array-flatten/README.md,README.md,,,0,TRUE,,active
course-2:de9fc58f42e37eb2,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/body-parser/lib,lib,,,0,TRUE,,active
course-2:83c16dc01e374212,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/body-parser/HISTORY.md,HISTORY.md,,,0,TRUE,,active
course-2:8e863cafe015aef6,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/body-parser/LICENSE,LICENSE,,,0,TRUE,,active
course-2:aa103fc310dded0b,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/body-parser/README.md,README.md,,,0,TRUE,,active
course-2:fa89762d37d18437,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/body-parser/SECURITY.md,SECURITY.md,,,0,TRUE,,active
course-2:dee6c2fb7a16addc,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/body-parser/package.json,package.json,,,0,TRUE,,active
course-2:93b8d384c27dc2e6,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/bootstrap/dist,dist,,,0,TRUE,,active
course-2:7f3c81b3a9fdc94d,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/bootstrap/js,js,,,0,TRUE,,active
course-2:0dd8e8537b04c4ad,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/bootstrap/scss,scss,,,0,TRUE,,active
course-2:c2801b1b84730c00,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/bootstrap/LICENSE,LICENSE,,,0,TRUE,,active
course-2:5a82e1da88ba6a78,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/bootstrap/README.md,README.md,,,0,TRUE,,active
course-2:7d4e896edef24ad4,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/bootstrap/package.json,package.json,,,0,TRUE,,active
course-2:767279c23269ba26,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/bytes/History.md,History.md,,,0,TRUE,,active
course-2:697c0e49d33a5a9a,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/bytes/LICENSE,LICENSE,,,0,TRUE,,active
